Time (s),Distance (cm)
0.0,18.96114434563384
0.1,18.96114434563384
0.2,18.96114434563384
0.3,18.96114434563384
0.4,18.96114434563384
0.5,18.96114434563384
0.6,18.96114434563384
0.7,18.96114434563384
0.8,18.96114434563384
0.9,18.96114434563384
1.0,18.96114434563384
1.1,18.96114434563384
1.2,18.96114434563384
1.3,18.96114434563384
1.4,18.96114434563384
1.5,18.96114434563384
1.6,18.96114434563384
1.7,18.96114434563384
1.8,18.96114434563384
1.9,18.96114434563384
2.0,18.96114434563384
2.1,18.96114434563384
2.2,18.96114434563384
2.3,18.96114434563384
2.4,18.96114434563384
2.5,18.96114434563384
2.6,18.96114434563384
2.7,18.96114434563384
2.8,18.96114434563384
2.9,18.96114434563384
3.0,18.96114434563384
3.1,18.96114434563384
3.2,18.96114434563384
3.3,18.96114434563384
3.4,18.96114434563384
3.5,18.96114434563384
3.6,18.96114434563384
3.7,18.96114434563384
3.8,18.96114434563384
3.9,18.96114434563384
4.0,18.96114434563384
4.1,18.96114434563384
4.2,18.96114434563384
4.3,18.96114434563384
4.4,18.96114434563384
4.5,18.96114434563384
4.6,18.96114434563384
4.7,18.96114434563384
4.8,18.96114434563384
4.9,18.96114434563384
5.0,18.96114434563384
5.1,18.96114434563384
5.2,18.96114434563384
5.3,18.96114434563384
5.4,18.96114434563384
5.5,18.96114434563384
5.6,18.96114434563384
5.7,18.96114434563384
5.8,18.96114434563384
5.9,18.96114434563384
6.0,18.96114434563384
6.1,18.96114434563384
6.2,18.96114434563384
6.3,18.96114434563384
6.4,18.96114434563384
6.5,18.96114434563384
6.6,18.96114434563384
6.7,19.030595860376824
6.8,19.030595860376824
6.9,19.030595860376824
7.0,19.030595860376824
7.1,19.030595860376824
7.2,19.030595860376824
7.3,19.169498924867174
7.4,19.23895047436181
7.5,19.308402035190635
7.6,19.377853607231785
7.7,19.447842914939805
7.8,19.586742300632867
7.9,19.725641782999244
8.0,19.86454136001102
8.1,19.93399118339066
8.2,19.93399118339066
8.3,20.003441029696603
8.4,20.07289089869087
8.5,20.143067624715183
8.6,20.143067624715183
8.7,20.143067624715183
8.8,20.143067624715183
8.9,20.281962496365246
9.0,20.351409990434117
9.1,20.420857522804024
9.2,20.62920034585171
9.3,20.62920034585171
9.4,20.62920034585171
9.5,20.62920034585171
9.6,20.698648027583506
9.7,20.83754349989979
9.8,20.97643911495047
9.9,21.045886975118073
10.0,21.114641503967086
10.1,21.184091706126065
10.2,21.184091706126065
10.3,21.25354192738738
10.4,21.461892703930925
10.5,21.600793313780233
10.6,21.739693995703814
10.7,21.739693995703814
10.8,21.739693995703814
10.9,21.94804515073508
11.0,22.017495570317475
11.1,22.017495570317475
11.2,22.15639646036493
11.3,22.295297417199254
11.4,22.22584693051199
11.5,22.22584693051199
11.6,22.22584693051199
11.7,22.295297417199254
11.8,22.36474792027262
11.9,22.573099526296915
12.0,22.573099526296915
12.1,22.573099526296915
12.2,22.573099526296915
12.3,22.64255009341154
12.4,22.64255009341154
12.5,22.64255009341154
12.6,22.64255009341154
12.7,22.781451274428818
12.8,22.781451274428818
12.9,22.850901888047066
13.0,22.850901888047066
13.1,22.850901888047066
13.2,22.850901888047066
13.3,22.920352516884986
13.4,22.920352516884986
13.5,23.059253819669788
13.6,23.059253819669788
13.7,23.059253819669788
13.8,23.059253819669788
13.9,23.128704493345758
14.0,23.128704493345758
14.1,23.128704493345758
14.2,23.128704493345758
14.3,23.128704493345758
14.4,23.128704493345758
14.5,23.128704493345758
14.6,23.128704493345758
14.7,23.128704493345758
14.8,23.128704493345758
14.9,23.33705660191639
15.0,23.33705660191639
15.1,23.33705660191639
15.2,23.33705660191639
15.3,23.33705660191639
15.4,23.40650733352125
15.5,23.40650733352125
15.6,23.40650733352125
15.7,23.40650733352125
15.8,23.475958079287487
15.9,23.475958079287487
16.0,23.475958079287487
16.1,23.475958079287487
16.2,23.6148596128043
16.3,23.6148596128043
16.4,23.6148596128043
16.5,23.6148596128043
16.6,23.6148596128043
16.7,23.75376120148188
16.8,23.75376120148188
16.9,23.75376120148188
17.0,23.75376120148188
17.1,23.75376120148188
17.2,23.75376120148188
17.3,23.75376120148188
17.4,23.75376120148188
17.5,23.75376120148188
17.6,23.89266284435819
17.7,23.89266284435819
17.8,23.89266284435819
17.9,23.89266284435819
18.0,23.89266284435819
18.1,23.89266284435819
18.2,23.89266284435819
18.3,23.89266284435819
18.4,23.962113685826328
18.5,23.962113685826328
18.6,23.962113685826328
18.7,23.962113685826328
18.8,23.962113685826328
18.9,23.962113685826328
19.0,23.962113685826328
19.1,23.962113685826328
19.2,24.101015408245374
19.3,24.101015408245374
19.4,24.239917182553963
19.5,24.239917182553963
19.6,24.239917182553963
19.7,24.239917182553963
19.8,24.239917182553963
19.9,24.239917182553963
20.0,24.239917182553963
20.1,24.239917182553963
20.2,24.30936808888887
20.3,24.30936808888887
20.4,24.30936808888887
20.5,24.30936808888887
20.6,24.30936808888887
20.7,24.448269939375045
20.8,24.448269939375045
20.9,24.448269939375045
21.0,24.448269939375045
21.1,24.448269939375045
21.2,24.448269939375045
21.3,24.448269939375045
21.4,24.448269939375045
21.5,24.448269939375045
21.6,24.448269939375045
21.7,24.448269939375045
21.8,24.448269939375045
21.9,24.448269939375045
22.0,24.448269939375045
22.1,24.448269939375045
22.2,24.448269939375045
22.3,24.448269939375045
22.4,24.448269939375045
22.5,24.448269939375045
22.6,24.448269939375045
22.7,24.448269939375045
22.8,24.448269939375045
22.9,24.448269939375045
23.0,24.448269939375045
23.1,24.448269939375045
23.2,24.448269939375045
23.3,24.448269939375045
23.4,24.448269939375045
23.5,24.448269939375045
23.6,24.448269939375045
23.7,24.448269939375045
23.8,24.448269939375045
23.9,24.448269939375045
24.0,24.448269939375045
24.1,24.448269939375045
24.2,24.448269939375045
24.3,24.448269939375045
24.4,24.448269939375045
24.5,24.448269939375045
24.6,24.448269939375045
24.7,24.448269939375045
24.8,24.448269939375045
24.9,24.448269939375045
25.0,24.448269939375045
25.1,24.448269939375045
25.2,24.448269939375045
25.3,24.448269939375045
25.4,24.448269939375045
25.5,24.448269939375045
25.6,24.448269939375045
25.7,24.448269939375045
25.8,24.448269939375045
25.9,24.448269939375045
26.0,24.448269939375045
26.1,24.448269939375045
26.2,24.51772088331207
26.3,24.51772088331207
26.4,24.51772088331207
26.5,24.51772088331207
26.6,24.51772088331207
26.7,24.51772088331207
26.8,24.51772088331207
26.9,24.51772088331207
27.0,24.51772088331207
