Time (s),Distance (cm)
0.0,31.118293507104852
0.1,31.118293507104852
0.2,31.118293507104852
0.3,31.118293507104852
0.4,31.118293507104852
0.5,31.118293507104852
0.6,31.118293507104852
0.7,31.118293507104852
0.8,31.118293507104852
0.9,31.118293507104852
1.0,31.118293507104852
1.1,31.118293507104852
1.2,31.118293507104852
1.3,31.118293507104852
1.4,31.118293507104852
1.5,31.118293507104852
1.6,31.118293507104852
1.7,31.118293507104852
1.8,31.118293507104852
1.9,31.118293507104852
2.0,31.118293507104852
2.1,31.118293507104852
2.2,31.118293507104852
2.3,31.118293507104852
2.4,31.118293507104852
2.5,31.118293507104852
2.6,31.118293507104852
2.7,31.118293507104852
2.8,31.118293507104852
2.9,31.118293507104852
3.0,31.118293507104852
3.1,31.118293507104852
3.2,31.118293507104852
3.3,31.118293507104852
3.4,31.118293507104852
3.5,31.118293507104852
3.6,31.118293507104852
3.7,31.118293507104852
3.8,31.118293507104852
3.9,31.118293507104852
4.0,31.118293507104852
4.1,31.118293507104852
4.2,31.118293507104852
4.3,31.118293507104852
4.4,31.118293507104852
4.5,31.118293507104852
4.6,31.118293507104852
4.7,31.118293507104852
4.8,31.118293507104852
4.9,31.118293507104852
5.0,31.118293507104852
5.1,31.118293507104852
5.2,31.118293507104852
5.3,31.118293507104852
5.4,31.118293507104852
5.5,31.118293507104852
5.6,31.118293507104852
5.7,31.118293507104852
5.8,31.118293507104852
5.9,31.118293507104852
6.0,31.118293507104852
6.1,31.118293507104852
6.2,31.118293507104852
6.3,31.118293507104852
6.4,31.118293507104852
6.5,31.118293507104852
6.6,31.118293507104852
6.7,31.118293507104852
6.8,31.118293507104852
6.9,31.118293507104852
7.0,31.118293507104852
7.1,31.118293507104852
7.2,31.118293507104852
7.3,31.118293507104852
7.4,31.118293507104852
7.5,31.118293507104852
7.6,31.118293507104852
7.7,31.118293507104852
7.8,31.118293507104852
7.9,31.118293507104852
8.0,31.118293507104852
8.1,31.118293507104852
8.2,31.118293507104852
8.3,31.118293507104852
8.4,31.118293507104852
8.5,31.118293507104852
8.6,31.118293507104852
8.7,31.118293507104852
8.8,31.118293507104852
8.9,31.118293507104852
9.0,31.118293507104852
9.1,31.118293507104852
9.2,31.118293507104852
9.3,31.118293507104852
9.4,31.118293507104852
9.5,31.118293507104852
9.6,31.118293507104852
9.7,31.118293507104852
9.8,31.118293507104852
9.9,31.118293507104852
10.0,31.118293507104852
10.1,31.118293507104852
10.2,31.118293507104852
10.3,31.118293507104852
10.4,31.118293507104852
10.5,31.118293507104852
10.6,31.118293507104852
10.7,31.118293507104852
10.8,31.118293507104852
10.9,31.118293507104852
11.0,31.118293507104852
11.1,31.118293507104852
11.2,31.118293507104852
11.3,31.118293507104852
11.4,31.118293507104852
11.5,31.118293507104852
11.6,31.118293507104852
11.7,31.118293507104852
11.8,31.118293507104852
11.9,31.118293507104852
12.0,31.118293507104852
12.1,31.118293507104852
12.2,31.118293507104852
12.3,31.118293507104852
12.4,31.118293507104852
12.5,31.118293507104852
12.6,31.118293507104852
12.7,31.118293507104852
12.8,31.118293507104852
12.9,31.118293507104852
13.0,31.118293507104852
13.1,31.118293507104852
13.2,31.118293507104852
13.3,31.118293507104852
13.4,31.118293507104852
13.5,31.118293507104852
13.6,31.118293507104852
13.7,31.118293507104852
13.8,31.118293507104852
13.9,31.118293507104852
14.0,31.118293507104852
14.1,31.118293507104852
14.2,31.118293507104852
14.3,31.118293507104852
14.4,31.118293507104852
14.5,31.118293507104852
14.6,31.118293507104852
14.7,31.118293507104852
14.8,31.118293507104852
14.9,31.118293507104852
15.0,31.118293507104852
15.1,31.118293507104852
15.2,31.118293507104852
15.3,31.118293507104852
15.4,31.118293507104852
15.5,31.118293507104852
15.6,31.118293507104852
15.7,31.118293507104852
15.8,31.118293507104852
15.9,31.118293507104852
16.0,31.118293507104852
16.1,31.118293507104852
16.2,31.118293507104852
16.3,31.118293507104852
16.4,31.118293507104852
16.5,31.118293507104852
16.6,31.118293507104852
16.7,31.118293507104852
16.8,31.118293507104852
16.9,31.118293507104852
17.0,31.118293507104852
17.1,31.118293507104852
17.2,31.118293507104852
17.3,31.118293507104852
17.4,31.118293507104852
17.5,31.118293507104852
17.6,31.118293507104852
17.7,31.118293507104852
17.8,31.118293507104852
17.9,31.118293507104852
18.0,31.118293507104852
18.1,31.118293507104852
18.2,31.118293507104852
18.3,31.118293507104852
18.4,31.118293507104852
18.5,31.118293507104852
18.6,31.118293507104852
18.7,31.118293507104852
18.8,31.118293507104852
18.9,31.118293507104852
19.0,31.118293507104852
19.1,31.326630976370957
19.2,31.326630976370957
19.3,31.326630976370957
19.4,31.39607686406823
19.5,31.534968735095102
19.6,31.534968735095102
19.7,31.537090993559406
19.8,31.67597368507509
19.9,31.67597368507509
20.0,31.67597368507509
20.1,31.67597368507509
20.2,31.748050324450205
20.3,31.746666863161256
20.4,31.816105605245973
20.5,32.02442220577758
20.6,32.232739359259206
20.7,32.3021785314485
20.8,32.3021785314485
20.9,32.44105705503869
21.0,32.30353820188826
21.1,32.37297451748346
21.2,32.51184736410138
21.3,32.51184736410138
21.4,32.650720494901734
21.5,32.650720494901734
21.6,32.650720494901734
21.7,32.51332692082889
21.8,32.51332692082889
21.9,32.652193758923254
22.0,32.723225204273916
22.1,32.93151622613209
22.2,33.07037738580111
22.3,33.20923892261292
22.4,33.34810083185622
22.5,33.55639438391623
22.6,33.55639438391623
22.7,33.55639438391623
22.8,33.55639438391623
22.9,33.62582574918132
23.0,33.764688748224835
23.1,33.83412038090122
23.2,33.83412038090122
23.3,33.76314013654005
23.4,33.90200983308239
23.5,34.04087982790348
23.6,34.04087982790348
23.7,34.04087982790348
23.8,34.11184778665645
23.9,34.11184778665645
24.0,34.320144244904675
